Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,2019-06-15,Delhi,Cochin,2025-04-26 09:00:00,2025-04-26 21:00:00,720,1.0,No info,13587
Jet Airways,2019-05-12,Banglore,Delhi,2025-04-26 06:00:00,2025-04-26 08:45:00,165,0.0,No info,7229
Jet Airways,2019-04-01,Kolkata,Banglore,2025-04-26 20:00:00,2025-04-02 12:00:00,960,1.0,No info,12681
Multiple carriers,2019-05-21,Delhi,Cochin,2025-04-26 10:35:00,2025-04-26 19:15:00,520,1.0,No info,7575
IndiGo,2019-03-27,Kolkata,Banglore,2025-04-26 15:10:00,2025-04-26 17:45:00,155,0.0,No info,4148
IndiGo,2019-05-12,Banglore,Delhi,2025-04-26 06:05:00,2025-04-26 08:50:00,165,0.0,No info,4423
IndiGo,2019-05-12,Chennai,Kolkata,2025-04-26 19:35:00,2025-04-26 21:55:00,140,0.0,No info,3597
Vistara,2019-05-01,Chennai,Kolkata,2025-04-26 17:45:00,2025-04-26 20:05:00,140,0.0,No info,11982
Air India,2019-06-06,Delhi,Cochin,2025-04-26 05:15:00,2025-06-07 19:15:00,2280,3.0,No info,10703
Jet Airways,2019-06-12,Kolkata,Banglore,2025-04-26 18:55:00,2025-06-13 12:00:00,1025,1.0,No info,13044
Jet Airways,2019-03-27,Delhi,Cochin,2025-04-26 17:30:00,2025-03-28 04:25:00,655,1.0,In-flight meal not included,6540
Air India,2019-03-15,Banglore,New Delhi,2025-04-26 21:10:00,2025-04-26 23:55:00,165,0.0,No info,8851
Jet Airways,2019-03-18,Banglore,New Delhi,2025-04-26 07:00:00,2025-04-26 15:15:00,495,1.0,No info,12284
SpiceJet,2019-06-09,Banglore,Delhi,2025-04-26 21:10:00,2025-06-10 00:05:00,175,0.0,No check-in baggage included,3919
Air India,2019-06-12,Banglore,Delhi,2025-04-26 21:05:00,2025-04-26 23:55:00,170,0.0,No info,5228
Air India,2019-05-09,Kolkata,Banglore,2025-04-26 20:45:00,2025-04-26 23:20:00,155,0.0,No info,4145
SpiceJet,2019-03-27,Chennai,Kolkata,2025-04-26 08:20:00,2025-04-26 10:35:00,135,0.0,No info,3384
IndiGo,2019-06-03,Delhi,Cochin,2025-04-26 06:40:00,2025-04-26 21:00:00,860,1.0,No info,6093
Vistara,2019-06-09,Kolkata,Banglore,2025-04-26 17:00:00,2025-04-26 22:55:00,355,1.0,No info,9187
Air India,2019-06-24,Banglore,Delhi,2025-04-26 10:00:00,2025-04-26 12:45:00,165,0.0,No info,6961
Jet Airways,2019-06-06,Delhi,Cochin,2025-04-26 14:00:00,2025-04-26 19:00:00,300,1.0,In-flight meal not included,10262
Jet Airways,2019-06-01,Delhi,Cochin,2025-04-26 14:35:00,2025-06-02 04:25:00,830,2.0,No info,13376
Vistara,2019-03-27,Chennai,Kolkata,2025-04-26 07:05:00,2025-04-26 09:20:00,135,0.0,No info,3739
Air Asia,2019-05-03,Kolkata,Banglore,2025-04-26 19:55:00,2025-04-26 22:25:00,150,0.0,No info,5989
Jet Airways,2019-06-06,Delhi,Cochin,2025-04-26 05:30:00,2025-04-26 19:00:00,810,2.0,No info,13014
SpiceJet,2019-05-15,Kolkata,Banglore,2025-04-26 17:10:00,2025-04-26 19:40:00,150,0.0,No info,4174
Air India,2019-05-24,Kolkata,Banglore,2025-04-26 12:00:00,2025-04-26 21:50:00,590,2.0,No info,9941
IndiGo,2019-05-15,Delhi,Cochin,2025-04-26 10:35:00,2025-04-26 21:00:00,625,1.0,No info,6979
Air India,2019-05-24,Kolkata,Banglore,2025-04-26 07:00:00,2025-05-25 01:20:00,1100,2.0,No info,14083
Multiple carriers,2019-06-12,Delhi,Cochin,2025-04-26 13:00:00,2025-04-26 21:00:00,480,1.0,No info,7408
GoAir,2019-05-09,Delhi,Cochin,2025-04-26 07:25:00,2025-04-26 13:35:00,370,1.0,No info,5842
Air India,2019-05-21,Delhi,Cochin,2025-04-26 10:00:00,2025-04-26 19:15:00,555,1.0,No info,8372
Multiple carriers,2019-03-27,Delhi,Cochin,2025-04-26 07:05:00,2025-04-26 15:30:00,505,1.0,No info,12537
Jet Airways,2019-06-12,Delhi,Cochin,2025-04-26 14:35:00,2025-06-13 04:25:00,830,2.0,No info,13376
IndiGo,2019-03-06,Chennai,Kolkata,2025-04-26 05:15:00,2025-04-26 07:35:00,140,0.0,No info,6482
Air India,2019-05-06,Banglore,Delhi,2025-04-26 06:10:00,2025-04-26 08:55:00,165,0.0,No info,6121
IndiGo,2019-03-03,Delhi,Cochin,2025-04-26 08:35:00,2025-04-26 16:10:00,455,1.0,No info,7663
Air India,2019-05-18,Delhi,Cochin,2025-04-26 22:00:00,2025-05-19 19:15:00,1275,2.0,No info,10441
IndiGo,2019-03-18,Mumbai,Hyderabad,2025-04-26 20:05:00,2025-04-26 21:35:00,90,0.0,No info,2227
Vistara,2019-05-09,Banglore,Delhi,2025-04-26 09:45:00,2025-04-26 12:35:00,170,0.0,No info,4668
Air India,2019-05-24,Kolkata,Banglore,2025-04-26 12:00:00,2025-05-25 18:30:00,1830,2.0,No info,10151
IndiGo,2019-06-21,Kolkata,Banglore,2025-04-26 17:15:00,2025-04-26 19:50:00,155,0.0,No info,4804
Vistara,2019-03-12,Mumbai,Hyderabad,2025-04-26 08:45:00,2025-04-26 16:45:00,480,1.0,No info,12080
Air India,2019-03-24,Kolkata,Banglore,2025-04-26 14:35:00,2025-03-25 14:35:00,1440,1.0,No info,6241
Jet Airways,2019-06-12,Delhi,Cochin,2025-04-26 05:30:00,2025-04-26 19:00:00,810,2.0,No info,13292
Vistara,2019-05-18,Banglore,Delhi,2025-04-26 19:30:00,2025-04-26 22:15:00,165,0.0,No info,4878
IndiGo,2019-04-03,Delhi,Cochin,2025-04-26 02:00:00,2025-04-26 07:25:00,325,1.0,No info,4744
Jet Airways,2019-06-15,Delhi,Cochin,2025-04-26 18:15:00,2025-06-16 19:00:00,1485,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,2025-04-26 09:35:00,2025-04-26 22:05:00,750,1.0,No info,12692
Multiple carriers,2019-03-27,Delhi,Cochin,2025-04-26 19:00:00,2025-03-28 01:35:00,395,1.0,No info,7845
Jet Airways,2019-05-21,Kolkata,Banglore,2025-04-26 18:55:00,2025-05-22 04:40:00,585,1.0,No info,14388
Jet Airways,2019-03-01,Banglore,New Delhi,2025-04-26 08:00:00,2025-04-26 13:15:00,315,1.0,No info,22270
Multiple carriers,2019-06-24,Delhi,Cochin,2025-04-26 09:00:00,2025-04-26 19:00:00,600,1.0,No info,12927
IndiGo,2019-05-18,Banglore,Delhi,2025-04-26 08:30:00,2025-04-26 11:20:00,170,0.0,No info,4823
Jet Airways,2019-05-09,Mumbai,Hyderabad,2025-04-26 02:55:00,2025-04-26 04:20:00,85,0.0,No info,5678
Multiple carriers,2019-06-27,Delhi,Cochin,2025-04-26 13:15:00,2025-04-26 22:30:00,555,1.0,No info,8018
IndiGo,2019-03-24,Banglore,New Delhi,2025-04-26 21:20:00,2025-03-25 00:15:00,175,0.0,No info,6144
Jet Airways,2019-06-03,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,In-flight meal not included,5769
IndiGo,2019-06-27,Kolkata,Banglore,2025-04-26 17:15:00,2025-04-26 19:50:00,155,0.0,No info,4804
Jet Airways,2019-06-06,Kolkata,Banglore,2025-04-26 08:25:00,2025-06-07 04:40:00,1215,1.0,No info,13731
Vistara,2019-05-18,Kolkata,Banglore,2025-04-26 07:10:00,2025-04-26 22:40:00,930,1.0,No info,9187
Vistara,2019-05-12,Delhi,Cochin,2025-04-26 06:00:00,2025-04-26 09:10:00,190,0.0,No info,6216
Jet Airways,2019-06-27,Delhi,Cochin,2025-04-26 11:30:00,2025-04-26 19:00:00,450,1.0,No info,14714
Jet Airways,2019-03-06,Banglore,New Delhi,2025-04-26 05:45:00,2025-04-26 12:25:00,400,1.0,No info,22270
Multiple carriers,2019-03-09,Delhi,Cochin,2025-04-26 19:00:00,2025-03-10 01:35:00,395,1.0,No info,13677
IndiGo,2019-04-21,Kolkata,Banglore,2025-04-26 22:15:00,2025-04-22 00:50:00,155,0.0,No info,4804
IndiGo,2019-05-27,Delhi,Cochin,2025-04-26 14:25:00,2025-04-26 17:40:00,195,0.0,No info,6015
Jet Airways,2019-05-21,Delhi,Cochin,2025-04-26 13:00:00,2025-05-22 04:25:00,925,1.0,In-flight meal not included,12898
GoAir,2019-05-06,Banglore,Delhi,2025-04-26 11:40:00,2025-04-26 14:30:00,170,0.0,No info,3398
IndiGo,2019-05-15,Banglore,Delhi,2025-04-26 07:10:00,2025-04-26 10:05:00,175,0.0,No info,4823
Vistara,2019-04-15,Delhi,Cochin,2025-04-26 14:40:00,2025-04-26 17:50:00,190,0.0,No info,6216
Multiple carriers,2019-05-21,Delhi,Cochin,2025-04-26 11:25:00,2025-04-26 19:15:00,470,1.0,No info,7575
GoAir,2019-04-12,Banglore,Delhi,2025-04-26 07:45:00,2025-04-26 10:40:00,175,0.0,No info,6722
Jet Airways,2019-06-06,Delhi,Cochin,2025-04-26 17:30:00,2025-06-07 19:00:00,1530,1.0,No info,14714
Jet Airways,2019-05-27,Mumbai,Hyderabad,2025-04-26 10:20:00,2025-04-26 11:50:00,90,0.0,In-flight meal not included,4995
Air India,2019-04-01,Kolkata,Banglore,2025-04-26 20:30:00,2025-04-02 23:15:00,1605,1.0,No info,7211
IndiGo,2019-06-12,Delhi,Cochin,2025-04-26 14:20:00,2025-04-26 22:30:00,490,1.0,No info,6938
Jet Airways,2019-05-09,Delhi,Cochin,2025-04-26 09:00:00,2025-05-10 04:25:00,1165,1.0,In-flight meal not included,12373
Air India,2019-04-03,Mumbai,Hyderabad,2025-04-26 21:05:00,2025-04-26 22:25:00,80,0.0,No info,2050
Jet Airways,2019-03-06,Banglore,New Delhi,2025-04-26 16:55:00,2025-03-07 05:05:00,730,1.0,No info,16736
SpiceJet,2019-06-21,Kolkata,Banglore,2025-04-26 09:00:00,2025-04-26 11:25:00,145,0.0,No info,3873
Jet Airways,2019-06-27,Delhi,Cochin,2025-04-26 13:00:00,2025-04-26 19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Delhi,Cochin,2025-04-26 23:05:00,2025-05-20 04:25:00,1760,2.0,No info,15129
Jet Airways,2019-05-12,Kolkata,Banglore,2025-04-26 16:30:00,2025-04-26 22:35:00,365,1.0,In-flight meal not included,10844
Jet Airways,2019-03-27,Delhi,Cochin,2025-04-26 02:15:00,2025-04-26 18:50:00,995,1.0,No info,12242
IndiGo,2019-06-18,Delhi,Cochin,2025-04-26 05:35:00,2025-04-26 08:50:00,195,0.0,No info,5000
SpiceJet,2019-06-18,Mumbai,Hyderabad,2025-04-26 22:45:00,2025-06-19 00:15:00,90,0.0,No info,2017
Multiple carriers,2019-03-21,Delhi,Cochin,2025-04-26 13:15:00,2025-04-26 21:20:00,485,2.0,No info,6653
IndiGo,2019-05-18,Banglore,Delhi,2025-04-26 18:25:00,2025-04-26 21:20:00,175,0.0,No info,4823
Vistara,2019-06-06,Kolkata,Banglore,2025-04-26 17:00:00,2025-04-26 23:25:00,385,1.0,No info,8610
Jet Airways,2019-06-01,Delhi,Cochin,2025-04-26 11:30:00,2025-04-26 19:00:00,450,1.0,No info,14714
Air India,2019-03-12,Mumbai,Hyderabad,2025-04-26 19:30:00,2025-04-26 20:45:00,75,0.0,No info,4307
Air India,2019-04-06,Delhi,Cochin,2025-04-26 17:40:00,2025-04-26 23:00:00,320,1.0,No info,5232
Vistara,2019-04-06,Banglore,Delhi,2025-04-26 07:00:00,2025-04-26 09:40:00,160,0.0,No info,5613
Jet Airways,2019-06-03,Delhi,Cochin,2025-04-26 11:40:00,2025-04-26 19:00:00,440,2.0,No info,18804
Jet Airways,2019-04-06,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,No info,7229
Jet Airways,2019-05-18,Delhi,Cochin,2025-04-26 19:45:00,2025-05-19 12:35:00,1010,1.0,In-flight meal not included,12373
Multiple carriers,2019-03-09,Delhi,Cochin,2025-04-26 15:15:00,2025-03-10 01:35:00,620,1.0,No info,15200
Jet Airways,2019-05-21,Kolkata,Banglore,2025-04-26 06:30:00,2025-05-22 07:25:00,1495,2.0,In-flight meal not included,10118
Air India,2019-03-09,Kolkata,Banglore,2025-04-26 14:15:00,2025-04-26 16:45:00,150,0.0,No info,4960
Multiple carriers,2019-03-21,Delhi,Cochin,2025-04-26 09:10:00,2025-04-26 19:15:00,605,1.0,No info,8601
Multiple carriers,2019-06-12,Delhi,Cochin,2025-04-26 10:00:00,2025-06-13 01:30:00,930,1.0,No info,13377
Multiple carriers,2019-03-21,Delhi,Cochin,2025-04-26 08:00:00,2025-04-26 19:15:00,675,1.0,No info,13378
IndiGo,2019-06-24,Delhi,Cochin,2025-04-26 06:50:00,2025-04-26 12:10:00,320,1.0,No info,5298
IndiGo,2019-04-03,Delhi,Cochin,2025-04-26 16:00:00,2025-04-26 21:00:00,300,1.0,No info,5073
Air India,2019-03-09,Delhi,Cochin,2025-04-26 21:40:00,2025-03-10 07:40:00,600,1.0,No info,13832
IndiGo,2019-05-01,Kolkata,Banglore,2025-04-26 15:30:00,2025-04-26 18:05:00,155,0.0,No info,4804
Air India,2019-05-12,Kolkata,Banglore,2025-04-26 09:25:00,2025-04-26 18:30:00,545,1.0,No info,8576
Jet Airways,2019-03-24,Kolkata,Banglore,2025-04-26 13:55:00,2025-03-25 16:20:00,1585,1.0,In-flight meal not included,10031
SpiceJet,2019-03-06,Delhi,Cochin,2025-04-26 16:35:00,2025-04-26 22:50:00,375,1.0,No info,7185
Multiple carriers,2019-06-06,Delhi,Cochin,2025-04-26 04:55:00,2025-04-26 19:00:00,845,1.0,No info,10678
Jet Airways,2019-06-21,Mumbai,Hyderabad,2025-04-26 08:45:00,2025-04-26 10:15:00,90,0.0,In-flight meal not included,4995
Vistara,2019-03-24,Kolkata,Banglore,2025-04-26 07:10:00,2025-03-25 09:10:00,1560,1.0,No info,11682
Air India,2019-04-01,Banglore,Delhi,2025-04-26 13:20:00,2025-04-26 16:10:00,170,0.0,No info,5911
IndiGo,2019-04-01,Kolkata,Banglore,2025-04-26 18:05:00,2025-04-26 23:30:00,325,1.0,No info,6284
Jet Airways,2019-05-01,Kolkata,Banglore,2025-04-26 09:35:00,2025-05-02 14:25:00,1730,1.0,No info,11467
Jet Airways,2019-04-27,Banglore,Delhi,2025-04-26 06:00:00,2025-04-26 08:45:00,165,0.0,In-flight meal not included,4544
IndiGo,2019-04-27,Banglore,Delhi,2025-04-26 18:55:00,2025-04-26 21:50:00,175,0.0,No info,4823
SpiceJet,2019-06-09,Delhi,Cochin,2025-04-26 06:05:00,2025-04-26 11:20:00,315,1.0,No info,5583
IndiGo,2019-05-21,Delhi,Cochin,2025-04-26 10:35:00,2025-04-26 21:00:00,625,1.0,No info,6794
Air India,2019-05-24,Banglore,Delhi,2025-04-26 06:10:00,2025-04-26 08:55:00,165,0.0,No info,8273
Jet Airways,2019-05-24,Kolkata,Banglore,2025-04-26 08:25:00,2025-04-26 16:20:00,475,1.0,No info,14571
Jet Airways,2019-03-01,Banglore,New Delhi,2025-04-26 07:00:00,2025-04-26 18:25:00,685,1.0,No info,26890
Air India,2019-06-09,Delhi,Cochin,2025-04-26 09:45:00,2025-06-10 09:25:00,1420,1.0,No info,7690
IndiGo,2019-04-06,Kolkata,Banglore,2025-04-26 09:35:00,2025-04-26 12:20:00,165,0.0,No info,4174
SpiceJet,2019-06-09,Chennai,Kolkata,2025-04-26 09:45:00,2025-04-26 12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-12,Kolkata,Banglore,2025-04-26 09:35:00,2025-04-26 19:10:00,575,1.0,In-flight meal not included,10539
IndiGo,2019-04-06,Delhi,Cochin,2025-04-26 07:35:00,2025-04-26 12:10:00,275,1.0,No info,5073
Air India,2019-05-03,Kolkata,Banglore,2025-04-26 14:15:00,2025-04-26 16:45:00,150,0.0,No info,5510
GoAir,2019-03-21,Delhi,Cochin,2025-04-26 07:00:00,2025-04-26 12:50:00,350,1.0,No info,9385
Vistara,2019-04-12,Banglore,Delhi,2025-04-26 11:30:00,2025-04-26 14:20:00,170,0.0,No info,5403
Air India,2019-03-24,Kolkata,Banglore,2025-04-26 09:50:00,2025-03-25 23:15:00,2245,2.0,No info,14410
IndiGo,2019-03-09,Banglore,New Delhi,2025-04-26 20:00:00,2025-04-26 22:55:00,175,0.0,No info,6144
SpiceJet,2019-05-21,Mumbai,Hyderabad,2025-04-26 22:45:00,2025-05-22 00:15:00,90,0.0,No check-in baggage included,1965
IndiGo,2019-03-01,Mumbai,Hyderabad,2025-04-26 21:20:00,2025-04-26 22:45:00,85,0.0,No info,12475
Air India,2019-06-12,Kolkata,Banglore,2025-04-26 20:30:00,2025-06-13 20:25:00,1435,1.0,No info,10203
Air Asia,2019-03-24,Banglore,New Delhi,2025-04-26 05:50:00,2025-04-26 08:40:00,170,0.0,No info,3383
Vistara,2019-06-06,Kolkata,Banglore,2025-04-26 20:20:00,2025-06-07 22:40:00,1580,1.0,No info,8662
Jet Airways,2019-06-09,Kolkata,Banglore,2025-04-26 10:20:00,2025-04-26 17:35:00,435,1.0,No info,8355
IndiGo,2019-04-27,Kolkata,Banglore,2025-04-26 15:30:00,2025-04-26 18:05:00,155,0.0,No info,4804
Jet Airways,2019-06-24,Delhi,Cochin,2025-04-26 17:30:00,2025-06-25 19:00:00,1530,1.0,In-flight meal not included,10262
IndiGo,2019-04-03,Banglore,Delhi,2025-04-26 18:55:00,2025-04-26 21:50:00,175,0.0,No info,4823
Air India,2019-04-15,Banglore,Delhi,2025-04-26 17:00:00,2025-04-26 19:45:00,165,0.0,No info,6121
Air Asia,2019-04-06,Kolkata,Banglore,2025-04-26 10:20:00,2025-04-26 12:55:00,155,0.0,No info,3807
Jet Airways,2019-05-09,Delhi,Cochin,2025-04-26 23:05:00,2025-05-11 04:25:00,1760,2.0,No info,15129
Air India,2019-05-18,Delhi,Cochin,2025-04-26 12:30:00,2025-05-19 09:25:00,1255,1.0,No info,7480
Air India,2019-03-27,Delhi,Cochin,2025-04-26 07:00:00,2025-04-26 19:15:00,735,2.0,No info,10913
Multiple carriers,2019-03-27,Delhi,Cochin,2025-04-26 09:45:00,2025-04-26 21:20:00,695,2.0,No info,6653
Jet Airways,2019-03-24,Banglore,New Delhi,2025-04-26 19:55:00,2025-04-26 22:35:00,160,0.0,No info,7229
Jet Airways,2019-04-01,Banglore,Delhi,2025-04-26 15:15:00,2025-04-26 18:10:00,175,0.0,In-flight meal not included,4544
IndiGo,2019-03-15,Chennai,Kolkata,2025-04-26 07:55:00,2025-04-26 10:15:00,140,0.0,No info,6297
Air India,2019-06-24,Banglore,Delhi,2025-04-26 21:05:00,2025-04-26 23:55:00,170,0.0,No info,6961
SpiceJet,2019-04-24,Kolkata,Banglore,2025-04-26 17:10:00,2025-04-26 19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-01,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,No info,8016
Multiple carriers,2019-05-09,Delhi,Cochin,2025-04-26 11:25:00,2025-04-26 19:00:00,455,1.0,No info,9103
Air India,2019-05-24,Banglore,Delhi,2025-04-26 17:00:00,2025-04-26 19:45:00,165,0.0,No info,7171
IndiGo,2019-04-01,Delhi,Cochin,2025-04-26 02:00:00,2025-04-26 07:25:00,325,1.0,No info,5164
Jet Airways,2019-05-24,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,No info,7229
IndiGo,2019-05-18,Kolkata,Banglore,2025-04-26 04:40:00,2025-04-26 07:15:00,155,0.0,No info,4804
IndiGo,2019-06-09,Kolkata,Banglore,2025-04-26 15:15:00,2025-04-26 20:30:00,315,1.0,No info,5380
Jet Airways,2019-06-15,Delhi,Cochin,2025-04-26 02:15:00,2025-06-16 04:25:00,1570,1.0,In-flight meal not included,10262
Jet Airways,2019-03-24,Mumbai,Hyderabad,2025-04-26 19:35:00,2025-04-26 21:05:00,90,0.0,In-flight meal not included,2470
SpiceJet,2019-06-06,Kolkata,Banglore,2025-04-26 17:10:00,2025-04-26 19:40:00,150,0.0,No info,3873
Jet Airways,2019-05-12,Kolkata,Banglore,2025-04-26 21:10:00,2025-05-13 16:20:00,1150,1.0,In-flight meal not included,10844
IndiGo,2019-05-27,Delhi,Cochin,2025-04-26 16:10:00,2025-04-26 22:30:00,380,1.0,No info,6938
Multiple carriers,2019-03-27,Delhi,Cochin,2025-04-26 11:30:00,2025-04-26 19:15:00,465,1.0,No info,6732
IndiGo,2019-06-18,Chennai,Kolkata,2025-04-26 13:15:00,2025-04-26 15:35:00,140,0.0,No info,3597
Multiple carriers,2019-06-24,Delhi,Cochin,2025-04-26 07:05:00,2025-04-26 21:00:00,835,1.0,No info,13797
Jet Airways,2019-03-01,Banglore,New Delhi,2025-04-26 22:50:00,2025-03-02 11:25:00,755,1.0,1 Long layover,31825
SpiceJet,2019-06-27,Chennai,Kolkata,2025-04-26 17:45:00,2025-04-26 20:05:00,140,0.0,No info,3597
Vistara,2019-03-24,Kolkata,Banglore,2025-04-26 07:10:00,2025-04-26 22:10:00,900,1.0,No info,12942
IndiGo,2019-05-06,Kolkata,Banglore,2025-04-26 18:05:00,2025-04-26 23:30:00,325,1.0,No info,6218
Air Asia,2019-04-06,Kolkata,Banglore,2025-04-26 22:50:00,2025-04-07 01:20:00,150,0.0,No info,3807
Jet Airways,2019-05-01,Kolkata,Banglore,2025-04-26 14:05:00,2025-04-26 22:35:00,510,1.0,No info,14781
IndiGo,2019-06-01,Delhi,Cochin,2025-04-26 09:15:00,2025-06-02 01:30:00,975,1.0,No info,7048
Jet Airways,2019-05-12,Banglore,Delhi,2025-04-26 17:45:00,2025-04-26 20:45:00,180,0.0,In-flight meal not included,5198
IndiGo,2019-05-27,Kolkata,Banglore,2025-04-26 21:25:00,2025-05-28 00:05:00,160,0.0,No info,4804
Jet Airways,2019-06-01,Delhi,Cochin,2025-04-26 14:35:00,2025-06-02 12:35:00,1320,2.0,In-flight meal not included,10919
Multiple carriers,2019-06-27,Delhi,Cochin,2025-04-26 11:40:00,2025-04-26 19:15:00,455,1.0,In-flight meal not included,7268
Jet Airways,2019-06-24,Mumbai,Hyderabad,2025-04-26 02:55:00,2025-04-26 04:20:00,85,0.0,In-flight meal not included,4050
SpiceJet,2019-06-12,Banglore,Delhi,2025-04-26 09:30:00,2025-04-26 12:20:00,170,0.0,No check-in baggage included,4319
Jet Airways,2019-03-15,Banglore,New Delhi,2025-04-26 09:45:00,2025-04-26 14:25:00,280,1.0,In-flight meal not included,6136
Jet Airways,2019-03-01,Banglore,New Delhi,2025-04-26 08:00:00,2025-04-26 18:25:00,625,1.0,No info,26890
Air India,2019-05-09,Kolkata,Banglore,2025-04-26 16:50:00,2025-05-10 05:35:00,765,2.0,No info,11432
Multiple carriers,2019-06-06,Delhi,Cochin,2025-04-26 15:05:00,2025-06-07 01:30:00,625,2.0,No info,15965
IndiGo,2019-06-12,Chennai,Kolkata,2025-04-26 11:35:00,2025-04-26 14:00:00,145,0.0,No info,3858
SpiceJet,2019-03-01,Banglore,New Delhi,2025-04-26 09:35:00,2025-04-26 12:30:00,175,0.0,No info,11690
Jet Airways,2019-06-15,Banglore,Delhi,2025-04-26 11:10:00,2025-04-26 14:05:00,175,0.0,In-flight meal not included,7229
SpiceJet,2019-06-27,Delhi,Cochin,2025-04-26 17:55:00,2025-04-26 22:50:00,295,1.0,No info,4957
Air India,2019-06-27,Delhi,Cochin,2025-04-26 17:40:00,2025-04-26 23:00:00,320,1.0,No info,7174
Jet Airways,2019-03-01,Banglore,New Delhi,2025-04-26 08:00:00,2025-04-26 16:10:00,490,1.0,No info,22270
Air India,2019-05-15,Delhi,Cochin,2025-04-26 20:30:00,2025-05-16 23:00:00,1590,1.0,No info,8907
Air Asia,2019-03-24,Banglore,New Delhi,2025-04-26 11:10:00,2025-04-26 13:55:00,165,0.0,No info,3383
IndiGo,2019-03-27,Chennai,Kolkata,2025-04-26 07:55:00,2025-04-26 10:15:00,140,0.0,No info,3384
Jet Airways,2019-03-27,Delhi,Cochin,2025-04-26 19:45:00,2025-03-28 19:45:00,1440,1.0,In-flight meal not included,5963
IndiGo,2019-05-01,Mumbai,Hyderabad,2025-04-26 06:25:00,2025-04-26 07:55:00,90,0.0,No info,4392
Jet Airways,2019-05-24,Kolkata,Banglore,2025-04-26 09:35:00,2025-05-25 14:25:00,1730,1.0,No info,12121
Jet Airways,2019-06-09,Kolkata,Banglore,2025-04-26 09:35:00,2025-04-26 22:05:00,750,1.0,In-flight meal not included,13994
Jet Airways,2019-05-21,Delhi,Cochin,2025-04-26 16:00:00,2025-05-22 19:00:00,1620,1.0,No info,16079
Jet Airways,2019-06-06,Delhi,Cochin,2025-04-26 16:00:00,2025-06-07 04:25:00,745,1.0,In-flight meal not included,10262
Jet Airways,2019-05-12,Kolkata,Banglore,2025-04-26 06:30:00,2025-05-13 08:15:00,1545,1.0,No info,13941
Jet Airways,2019-03-09,Delhi,Cochin,2025-04-26 21:50:00,2025-03-10 04:25:00,395,1.0,No info,15029
Jet Airways,2019-03-18,Banglore,New Delhi,2025-04-26 16:55:00,2025-04-26 23:00:00,365,1.0,In-flight meal not included,11087
Multiple carriers,2019-06-06,Delhi,Cochin,2025-04-26 10:20:00,2025-04-26 21:00:00,640,1.0,No info,7005
Air Asia,2019-06-06,Kolkata,Banglore,2025-04-26 19:55:00,2025-04-26 23:30:00,215,1.0,No info,6857
Jet Airways,2019-06-09,Kolkata,Banglore,2025-04-26 09:35:00,2025-04-26 21:05:00,690,1.0,No info,14676
Jet Airways,2019-03-18,Banglore,New Delhi,2025-04-26 11:40:00,2025-03-16 10:25:00,1365,1.0,In-flight meal not included,11087
Jet Airways,2019-03-01,Banglore,New Delhi,2025-04-26 14:05:00,2025-04-26 19:10:00,305,1.0,No info,36235
Jet Airways,2019-05-09,Banglore,Delhi,2025-04-26 11:10:00,2025-04-26 14:05:00,175,0.0,No info,7229
Multiple carriers Premium economy,2019-03-21,Delhi,Cochin,2025-04-26 06:00:00,2025-04-26 13:20:00,440,1.0,No info,11269
Air India,2019-03-03,Banglore,New Delhi,2025-04-26 05:50:00,2025-03-07 22:10:00,2420,2.0,No info,11791
Jet Airways,2019-05-15,Mumbai,Hyderabad,2025-04-26 10:20:00,2025-04-26 11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-05-24,Delhi,Cochin,2025-04-26 22:50:00,2025-05-25 04:25:00,335,1.0,No info,16079
Air Asia,2019-04-15,Kolkata,Banglore,2025-04-26 07:35:00,2025-04-26 19:25:00,710,1.0,No info,5192
Air India,2019-05-12,Kolkata,Banglore,2025-04-26 07:00:00,2025-05-13 01:20:00,1100,2.0,No info,13243
Jet Airways,2019-04-01,Kolkata,Banglore,2025-04-26 20:00:00,2025-04-02 23:35:00,1655,1.0,No info,12681
Air India,2019-03-06,Mumbai,Hyderabad,2025-04-26 06:00:00,2025-03-07 19:25:00,2245,2.0,No info,13904
Jet Airways,2019-06-01,Delhi,Cochin,2025-04-26 19:15:00,2025-06-02 12:35:00,1040,1.0,In-flight meal not included,10262
Air India,2019-03-06,Delhi,Cochin,2025-04-26 21:30:00,2025-03-07 19:15:00,1305,2.0,No info,11552
Air India,2019-05-06,Kolkata,Banglore,2025-04-26 20:45:00,2025-04-26 23:20:00,155,0.0,No info,4145
Jet Airways,2019-03-24,Banglore,New Delhi,2025-04-26 08:55:00,2025-03-19 09:00:00,1445,1.0,In-flight meal not included,8147
